,0,1,2,3
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,Very very good time at the hospital.Doctors are very polite and very experiencednurses also very much better they know how to handle and control the baby patients. Radiology staffs very gentle.Help desk staffs also fantastic they provide very easy process to take the doctors appointment.,1.7999999523162842
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,Met Dr.Vignesh (Pediatrician) for an emergency  for my two year old. he is the best doctor whom I have met so far. Smiling face for any number of questions. Clearly explained what needs to be done with patience. Thanks a lot for your care  ,1.9000000432133675
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,One of the most expensive  best Childrens Hospital in Chennai India. There service is very good. The building consultation is very Beautiful too. There systems  rules make me glad.You can come here for your lovely Baby..,2.699999988079071
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,There is no place for Car parking. Security is forcing to move the vehicle from hospital premises. Didnt expect this as I am visiting the Apollo child  first time.And in Hospital for OPD for consultation charge. They are accepting only cash.No other option available. And also  I need to request for Invoice  they provided a manuel invoice. In 2018 from Apollo hospital surprised to see the manuel slip.,-1.2999999821186066
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,I feel my child secure in the most able hands of the doctors sisters here. The overall experience of this place brings a sense of supreme satisfaction.,1.5999999642372131
0,SIMS Hospital,Chennai,If all you need is a state of the art facility and smiling faces around  Yes this is the place to be. If you wanted to be treated with care and honesty and you need transparency in treatment and billing  please DO NOT enter the gate. They look at patients as nothing more than mere cash cows. Extremely careless team of nurses and assistants  the consultant will never spend even a couple of minutes with you if at all they meet... Completely money minded and absolutely no empathy and ownership on the treatment.. Cant believe doctors can even get to cheap emotional blackmailing to get you spend more...,-3.099999964237213
0,SIMS Hospital,Chennai,Specialist doctors are great. Excellent medical facility case and treatment. However  little bit costly. If you have insurance it is ideal place to get world class treatment.,3.100000023841858
0,SIMS Hospital,Chennai,Completely money minded and absolutely no empathy and ownership on the treatment.. Cant believe doctors can even get to cheap emotional blackmailing to get you spend more...,-1.399999976158142
0,SIMS Hospital,Chennai,It is best hospital. Many patients r come from Bangladesh. My own country,1.0000000149011612
0,SIMS Hospital,Chennai,Sims is centrally located at Vadapalani. Has a good reputation. They have emergency ward and ambulance service is also available. Yesterday I went there to visit someone and urgently needed to use the toilet. The toilet was locked. I asked the young boy at the reception what to do. To my pleasant surprise he came with me and guided me to a toilet inside the premises. Even that toilet was locked. Then he called an attender and told him to take me to a toilet that was unlocked and my problem was solved. What I actually expected was a brush off. The care this boy took was a pleasant change. But every rose has a thorn and the parking area attendants are exactly that. They seem to have employed all middle aged fat unwieldy parking attendants. They are lazy and disrespectful. I am sure the boss of the agency supplying the parking attendants must be exactly like them. That is why this attitude. No use blaming the attendants. Owners of the hospital must talk to the agency that supplies the parking attendants. Give me a like if my review was helpful guys... have a great day ,2.499999977648258
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,We have been experiencing  excellent service and treatment both medical and social.  Both the medical and para medical staff have been showing  and extending very effective and useful service in order to have feature guidance. We are very mcuh satisfied that the care taken by the hospital is of high order. We thank the Malar hospital authorities for such wonderful treatment extended towards.,3.299999952316284
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,They treated the patient very good.The doctor are clearly inform to patient and nurse are very good coordinate with patient.These are the positive reviews and only one negative side are cost is very high.,0.8999999761581421
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,Dirty and full of mosquitoes. It is not fun when there are mosquitoes biting during a procedure or scan and you are supposed to lie still. Disgusting Also doctors fees are cash only and they will not give proper tax invoice for doctor fees. Tax authorities must check this and stop this practice. Prices are high for such unhygienic conditions. On the positive side they have good doctors and our wait times so far have been acceptable,-2.8999999165534973
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,My mother was admitted for fever. She is immobile. The care given by the nurses was excellent. We felt that we are at home. Excellent nursing staff. The doctor explained us very clearly with more clarity on how her treatment would be as my mother is completely  bed ridden.,2.299999989569187
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,Hospital for the name sake. Lack of doctors and mis managed completely. Avoid if you can.,-0.7999999895691872
0,Apollo Speciality Hospitals,Chennai,Worst experience They do business. They only have to charge money and dont bother about patients health. Its like a five star hotel with no hospitality and worst experience,-2.599999964237213
0,Apollo Speciality Hospitals,Chennai,Bit expensive compared to other Apollos but the doctors are good. My sincere thanks to Dr. Jothi Sankar.,1.4000000357627869
0,Apollo Speciality Hospitals,Chennai,Best hospital. Nice take care to patient. Very clean.,2.5
0,Apollo Speciality Hospitals,Chennai,Very good hospital having good doctor available 247 with good atmosphere and ambiance of hospital fully equipped with the international standards and the communication of the doctor was also very pleasing.If you are taking appointment holding insurance need to mention before so.Once sense perfect hospital...,0.8999999761581421
0,Apollo Speciality Hospitals,Chennai,Good facilities and medical equipments available here.,0.8999999761581421
0,Prime Indian Hospitals,Chennai,For all the peoples i have one big request dont go to this prime indian hospital becoz nurses r very worst in character they do no patient value if we r discharging means the nurses behaving like arrogant idiot nurses in this hospital and especially in ICU nurses r behaving like arrakkigal to patients chi chi is this nurses r arrakigal. Bcoz of my family request i didnt give any complaint on tat nurses or else tats all. I warned u to tat whole nurses in this hospital especially in ICU.,-0.9999999776482582
0,Prime Indian Hospitals,Chennai,Most of the people are saying that they suck money...at somewhat there is truth but the doctors are so kind and helpful...they gave a huge discount on medicines my father had stomach critical surgery it took about 5 lakhs(Indian rupee) but he is alright now. Even the doctors called us to take the condition of the patient.,0.20000001043081284
0,Prime Indian Hospitals,Chennai,I went surgery in this hospital... Im feeling very well and energetic ...Good care...,0.8999999761581421
0,Prime Indian Hospitals,Chennai,They ask us to come on time but the doctor takes his own sweet time to come to the hospital in the first place. Never ever will recommend this hospital to my enemy.,-0.8999999910593033
0,Prime Indian Hospitals,Chennai,Worst hospital nurses are not kind and attentive to patients,-0.8999999761581421
0,Kauvery Hospital - Chennai,Chennai,My father was briefly admitted here. The facility is well maintained. Clean and comfortable rooms with basic amenities such as a small microwave and refrigerator and clean well kept restrooms. The diagnosis and treatment were prompt and reliable. The nursing staff and attendants were courteous and professional. Overall we felt safe and well cared for.,4.499999918043613
0,Kauvery Hospital - Chennai,Chennai,Best hospital in Chennai. This is the first time we had gone through this hospital. Happy on our first visit. Doctors sisters  and all staffs are very kind in explaning the treatment and made us to feel comfortable. Ward girls are also very kind to patients. I could refer anybody who is in need of good treatment. Very well maintained hospital.  Overall satisfied with the experience.,4.999999970197678
0,Kauvery Hospital - Chennai,Chennai,We had a good experience with the hospital. Excellent service from both doctors and nurses. Great care and service with special mention to ward people. Hospital is neat and very clean. Comfortable rooms .,4.399999916553497
0,Kauvery Hospital - Chennai,Chennai,We will loose our loved once if we dont understand if the hospital is capable of treating the patient properly. We lost our mother by admitting for open heart surgery the operation was done but who knows if it was successful or failure  mom was alive after the operation she lasted in ICU for 36 days and died. The nurses never care the patients that too in ICU imagine in general they are pathetic. Better to treat patient in government hospital that is my thought after we lost our mother.,-1.1000000014901161
0,Kauvery Hospital - Chennai,Chennai,Very good hospital. Doctors sisters  and all staffs are very good. Their behaviour is also very good. Rooms and corridors are very much neat and clean. Mainly madam Jambukeshwari is very much cooperative. Behaviour of madam Ellen is also very good and helpful.,5.299999892711639
0,Cloudnine Hospital - Chennai,Chennai,Thank you for the joyous gift given by cloud nine.  Great service ND customer care millions of thanks to Dr Kanimozhi.  She has given me normal deliver. I didnt even know how I delivered thank you Dr.,1.699999988079071
0,Cloudnine Hospital - Chennai,Chennai,I enjoyed my stay at the hospital is like a hotel. Everything is brilliant I am a happy customer (they call us as guest). Keep up the good work team.,2.1999999582767487
0,Cloudnine Hospital - Chennai,Chennai,One of the best hospital in chennai. Had a normal delivery 2 weeks before. Thank you Nazeera maam for your valuable service. Had a normal delivery only because of you.Hospital is very neat and calm with homely feel. Nurses  housekeeping canteen people everyone are very responsible. Hospital has got all required facilities . We are happy with overall experience.I recommend the hospital.Thank you Cloudnine for your service.,2.999999947845936
0,Cloudnine Hospital - Chennai,Chennai,Cloudnine with Best Drs in the city.  Dr Kanimozhi is the one who gave us normal delivery when we had cesarean four years before. Blessed with girls baby. Thank you guys,1.9999999552965164
0,Cloudnine Hospital - Chennai,Chennai,I have visited the Cloudnine Hospital  Chennai for my sister treatment Just have to say the whole experience was one of the most professional Hospital. Honestly I think you could not fault anything at all.Excellent Nursing careApart from the above its services are very best with compare to other hospitals. They understand the patient and their family feeling and cooperates the situation to pay the money.A special appreciation to the Facilities department for cleanliness. Maintaining a clean environment is for the health of all humans as their health completely depends on the atmosphere.Rating full STARS.,3.399999976158142
0,Apollo Hospitals Tondiarpet,Chennai,No words to explain their medical service. Very nice doctors and all the staffs are very kind. A good multispeciality hospital in North chennai  a good place to treat emergency care. They provide very good treatment and very hygienic place.,2.799999952316284
0,Apollo Hospitals Tondiarpet,Chennai,I was given an appointment with a Dr and was asked to wait. After 1 hour i was informed by the staff that the Dr is very busy and he has left. Does the time wasted by the patient not at all important. Utterly frustrating.,-1.7999999895691872
0,Apollo Hospitals Tondiarpet,Chennai,Nice multispeciality hospital at main TH road. Serves good though space constraints.,1.5
0,Apollo Hospitals Tondiarpet,Chennai,Worst Ever experience guys believe me Dont trust them,-0.8999999761581421
0,Apollo Hospitals Tondiarpet,Chennai,This hopital is very well.Too many patients.Good service.Well at all,0.8999999761581421
0,Dr. Mehta's Hospitals,Chennai,Excellent service with a smile. Especially the staff are very friendly and took care of my mom very well. Had a very pleasant experience. Just two suggestion for the room we stayed. Bathroom door to be fixed room 107 A . Bathroomdoor mat need be changed once a day. Thank you and keep up the good work you guys rock. Sajid,3.6999999061226845
0,Dr. Mehta's Hospitals,Chennai,Customer care support helps me lot. Thank you Kamini for your kind support at all the time. Kind and friendly service. Best hospital.,2.300000011920929
0,Dr. Mehta's Hospitals,Chennai,My new born baby was admitted in NICU for extreme preterm. Was transferred safely in Ambulance from other hospital. Was given good care and updated us about the baby daily. Doctors and nurses provided good care. Thanks to Dr V. Lakshmi Mam and her team for providing great care to our baby.,3.2000000178813934
0,Dr. Mehta's Hospitals,Chennai,My sister was treated at this hospital and we had an excellent team who assisted us. All the staffs were friendly and gave guidance at every step we needed help .,1.7999999523162842
0,Dr. Mehta's Hospitals,Chennai,It is a really unprofessional place. Argumentative staff. And moreover the staff was very rude. (EMERGENCY WARD). The doctors were ok. But the other staff really pushed the limits. We asked for some hot water for the hot water bag and the refused They added things to the bill without information. And argued back when enquired about it. The IV they put in the hand was so painful they put it in and took it out several times saying that they couldnt locate the vein. Long story short I would never recommend this place to anyone.,-4.299999952316284
0,Tamil Nadu Government Multi Super Speciality Hospital,Chennai,Very good place for checkup good doctors . The only problem I faced is they are not maintaining air conditioner temperature because of this my mother was not able to sit it was severaly cold . Please maintain a nominal temperature for patient .,1.699999988079071
0,Tamil Nadu Government Multi Super Speciality Hospital,Chennai,Been to the place for Medical counselling. The place is well maintained. It has a waiting hall and a small canteen. Havent explored much inside the building.,1.899999976158142
0,Tamil Nadu Government Multi Super Speciality Hospital,Chennai,Originally constructed as the TN Secretariat. Later converted to the TN multi speciality hospital.,0.5000000149011612
